商品名称	商品毛重.kg.	奶源产地	国产或进口	适用年龄.岁.	包装单位	配方	分类	段位	团购价.元.	评价量
美素	1.11	荷兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	185	683009
美素	1.35	荷兰	进口	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	199	683009
惠氏	1.13	爱尔兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	298	338428
美素	1.12	荷兰	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	199	378557
诺优能	0.88	荷兰	进口	3-6岁	桶装	常规配方奶粉	牛奶粉	4段	143	151379
惠氏	1.16	澳洲/新西兰	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	148	605775
美赞臣	1.03	荷兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	247.5	57626
雅培	1.11	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	176	348286
惠氏	1.13	爱尔兰	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	1段	348	338428
惠氏	1.41	澳洲/新西兰	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	153	605775
雅培	1.38	中国大陆	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	191	348286
诺优能	0.98	荷兰	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	158	151379
惠氏	3.73	澳洲/新西兰	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	378	605775
爱他美	0.9	德国	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	185	139487
惠氏	1.41	澳洲/新西兰	国产	3-6岁	盒装	常规配方奶粉	牛奶粉	4段	146	605775
美素	0.54	荷兰	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	109	190565
惠氏	1.12	爱尔兰	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	308	338429
爱他美	0.9	德国	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	220	139487
雅培	1.08	中国大陆	国产	3-6岁	桶装	常规配方奶粉	牛奶粉	4段	141	113007
惠氏	1.09	澳洲/新西兰	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	143	605775
美素	1.12	荷兰	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	249	190565
合生元	1.2	其它　	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	196	33435
美赞臣	1.03	荷兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	247.5	57626
合生元	1.18	其它　	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	249	13141
爱睿惠	1.09	澳洲/新西兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	99	25922
贝因美	1.22	爱尔兰	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	189	23203
惠氏	1.4	澳洲/新西兰	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	236	340457
雅培	1.12	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	198	88900
雅培	1.38	中国大陆	国产	3-6岁	盒装	常规配方奶粉	牛奶粉	4段	169	113007
贝因美	1.23	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	189	21768
多美滋	1.35	澳洲/新西兰　	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	156	51495
贝因美	1.12	爱尔兰	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	175	56587
惠氏	0.51	爱尔兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	170	338431
美赞臣	1.05	荷兰	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	272	57630
雅培	1.07	中国大陆	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	251	28626
贝因美	1.23	中国大陆	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	139	38403
诺优能	1.08	荷兰	进口	3-6岁	桶装	常规配方奶粉	牛奶粉	4段	335	31860
君乐宝	1.89	中国大陆	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	109	10880
雀巢	1.07	其它　	国产	3-6岁	桶装	常规配方奶粉	牛奶粉	4段	149	223077
雀巢	0.45	其它　	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	59	223077
贝因美	0.9	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	119	1280
雅培	0.8	美国	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	199	52785
雅培	0.47	中国大陆	国产	3-6岁	盒装	常规配方奶粉	牛奶粉	4段	59	113008
美赞臣	1.35	荷兰	国产	0-0.5岁	盒装	常规配方奶粉	牛奶粉	1段	301	41698
雅培	0.47	中国大陆	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	87	88900
伊利	1.39	澳洲/新西兰	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	179	18622
雀巢	0.51	荷兰	进口	0.5-1岁	桶装	特殊配方奶粉	牛奶粉	1段	108	24546
惠氏	0.98	其它　	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	1段	308	46472
御宝	0.9	中国大陆	国产	1-3岁	桶装	常规配方奶粉	羊奶粉	3段	339	5997
雅培	1.36	中国大陆	国产	0-0.5岁	盒装	常规配方奶粉	牛奶粉	1段	305	28626
贝因美	0.5	中国大陆	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	45	91537
惠氏	1.16	爱尔兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	296	41483
美赞臣	0.48	荷兰	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	95	108587
雅士利	1.41	澳洲/新西兰	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	150	16995
君乐宝	1.02	中国大陆	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	69	9925
雅培	0.55	爱尔兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	156	2316
多美滋	1.1	澳洲/新西兰　	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	198	10938
合生元	1.18	法国	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	322	3698
君乐宝	1.06	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	79	9925
惠氏	0.515	爱尔兰	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	168	338432
雅培	1.09	其它　	进口	0.5-1岁	桶装	有机奶粉	牛奶粉	2段	450	15452
伊利	0.45	澳洲/新西兰	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	66	18622
合生元	1.18	其它　	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	205	33435
特福芬	0.6	德国	进口	0.5-1岁	盒装	有机奶粉	牛奶粉	2段	295	2727
圣元	1.2	澳洲/新西兰	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	188	4269
合生元	1.18	法国	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	410	2065
雅士利	1.12	澳洲/新西兰	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	182	16995
伊利	1.25	其它　	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	105	1438
惠氏	1.2	其它　	国产	3-6岁	盒装	常规配方奶粉	牛奶粉	4段	134	31009
完达山	1.14	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	228	9992
伊利	0.47	澳洲/新西兰	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	53	38285
佳贝艾特	0.8	荷兰	进口	0.5-1岁	桶装	常规配方奶粉	羊奶粉	2段	328	1829
合生元	0.9	其它　	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	214	670
飞鹤	1.5	中国大陆	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	184.5	512
